,Chipotle,Memos Mexican Food Restaurant,U:Don Fresh Japanese Noodle Station,Costa's Restaurant,Thai Tom,Palmi Korean BBQ,Chi Mac,Taste of Xi'an,Just Burgers,Korean Tofu House,Shawarma King,Pho Shizzle
Participant 1,7,12,1,11,6,5,3,4,10,2,9,8
Participant 2,1,3,4,5,12,6,7,2,8,9,10,11
Participant 3,4,12,6,11,8,9,10,2,1,6,3,5
Participant 4,1,3,4,5,6,7,8,9,10,2,11,12
Participant 5,7,1,5,8,4,2,6,10,12,3,9,11
Participant 6,1,8,1,1,1,8,1,8,1,8,1,8
Participant 7,12,10,11,9,7,6,2,3,5,1,8,4
Participant 8,10,11,8,7,5,6,9,3,3,1,2,12
Participant 9,3,11,12,10,6,7,2,1,5,4,9,8
Participant 10,4,12,6,1,2,7,9,8,3,10,11,5
Participant 11,3,1,9,4,5,11,12,10,2,8,7,6